127.0.0.1 - - [16/Dec/2022:23:23:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/index.html HTTP/1.1" 200 45280
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/vendor/aos/aos.css HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 885
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 404 885
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 404 883
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/vendor/remixicon/remixicon.css HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 404 885
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/css/style.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/vendor/purecounter/purecounter_vanilla.js HTTP/1.1" 404 884
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/vendor/aos/aos.js HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 404 883
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 404 884
